question_no,section,average,agree_pct,n,question
8,"Quản lý và tiêu chí xanh",3.8537,65.8537,41,"Các điểm du lịch nông nghiệp tại xã Củ Chi có kế hoạch quản lý môi trường và an toàn rõ ràng."
9,"Quản lý và tiêu chí xanh",3.6098,56.0976,41,"Tỷ lệ chủ hộ và nhân viên được đào tạo kỹ năng du lịch xanh còn thấp."
10,"Quản lý và tiêu chí xanh",3.7561,65.8537,41,"Có bộ quy tắc ứng xử cho du khách được áp dụng khá tốt tại các điểm du lịch."
11,"Quản lý và tiêu chí xanh",3.6098,63.4146,41,"Công tác giám sát và đánh giá tiêu chí du lịch xanh tại xã Củ Chi còn yếu và thiếu hệ thống. (Câu ngược)"
12,"Kinh tế và trải nghiệm",3.8049,70.7317,41,"Du lịch nông nghiệp xanh góp phần tăng thu nhập đáng kể cho người dân và hộ kinh doanh địa phương."
13,"Kinh tế và trải nghiệm",3.9268,80.4878,41,"Hoạt động du lịch tạo thêm việc làm toàn thời gian và bán thời gian cho cộng đồng."
14,"Kinh tế và trải nghiệm",3.6341,56.0976,41,"Tỷ lệ sản phẩm OCOP được tiêu thụ qua kênh du lịch nông nghiệp còn thấp."
15,"Kinh tế và trải nghiệm",3.7317,60.9756,41,"Lợi ích từ du lịch nông nghiệp được phân phối khá công bằng giữa các hộ tham gia."
16,"Kinh tế và trải nghiệm",3.8780,73.1707,41,"Du khách hài lòng với giá trị trải nghiệm (chất lượng dịch vụ, giá cả, tính chân thực) tại các điểm du lịch nông nghiệp xanh."
17,"Văn hóa - xã hội và cộng đồng",3.8049,73.1707,41,"Cộng đồng địa phương được tham gia khá tốt vào việc quản lý và ra quyết định phát triển du lịch nông nghiệp."
18,"Văn hóa - xã hội và cộng đồng",3.9512,70.7317,41,"Du lịch nông nghiệp góp phần bảo tồn và phát huy bản sắc văn hóa, làng nghề truyền thống của xã Củ Chi."
19,"Văn hóa - xã hội và cộng đồng",3.9268,70.7317,41,"Việc kết hợp di sản lịch sử Địa đạo Củ Chi với trải nghiệm nông nghiệp xanh tạo được điểm nhấn riêng biệt."
20,"Văn hóa - xã hội và cộng đồng",3.5854,56.0976,41,"Sự phát triển du lịch nông nghiệp chưa gây tác động tiêu cực đáng kể đến đời sống và không gian cộng đồng địa phương. (Câu ngược)"
21,"Môi trường và hệ sinh thái",3.6341,60.9756,41,"Các điểm du lịch nông nghiệp kiểm soát tốt rác thải nhựa và chất thải từ du khách."
22,"Môi trường và hệ sinh thái",3.7073,58.5366,41,"Hệ thống xử lý nước thải tại các điểm du lịch nông nghiệp còn thiếu và chưa hiệu quả."
23,"Môi trường và hệ sinh thái",3.6829,53.6585,41,"Tỷ lệ diện tích canh tác chuyển sang hữu cơ hoặc VietGAP tại các hộ làm du lịch còn thấp."
24,"Môi trường và hệ sinh thái",3.8293,70.7317,41,"Du khách được giáo dục và nâng cao ý thức bảo vệ môi trường khi tham gia trải nghiệm."
25,"Môi trường và hệ sinh thái",3.9512,70.7317,41,"Hoạt động du lịch nông nghiệp góp phần bảo tồn đa dạng sinh học và cảnh quan nông thôn."
26,"Nguyên nhân hạn chế",3.6585,58.5366,41,"Quy hoạch du lịch nông nghiệp xanh cấp xã chưa cụ thể và thiếu định hướng rõ ràng."
27,"Nguyên nhân hạn chế",3.6829,68.2927,41,"Nguồn vốn đầu tư hạ tầng xanh và cơ chế hợp tác công-tư (PPP) còn hạn chế."
28,"Nguyên nhân hạn chế",3.5854,58.5366,41,"Năng lực quản lý và kỹ năng du lịch xanh của người dân, hộ kinh doanh còn yếu."
29,"Nguyên nhân hạn chế",3.8049,70.7317,41,"Nhận thức của cộng đồng về lợi ích dài hạn của du lịch nông nghiệp xanh còn thấp."
30,"Nguyên nhân hạn chế",3.6829,65.8537,41,"Liên kết chuỗi giá trị giữa nông dân – doanh nghiệp lữ hành – chính quyền còn lỏng lẻo."
31,"Nguyên nhân hạn chế",3.6829,63.4146,41,"Chưa có hệ thống giám sát định kỳ và chứng nhận tiêu chuẩn du lịch xanh (GSTC, OCOP) hiệu quả."
32,"Giải pháp đề xuất",3.9756,70.7317,41,"Cần triển khai mô hình “Zero Waste Village – Làng Du lịch Nông nghiệp Xanh Củ Chi” tại các điểm có lượng khách cao."
33,"Giải pháp đề xuất",3.9024,75.6098,41,"Nên phát triển các tuyến tour tích hợp “Du lịch Xanh – Lịch sử Củ Chi” kết hợp Địa đạo với trải nghiệm nông nghiệp xanh và công nghệ AR/VR."
34,"Giải pháp đề xuất",3.8293,68.2927,41,"Cần xây dựng nền tảng số “Củ Chi Green Agri Hub” để kết nối nông dân, du khách và công ty lữ hành."
35,"Giải pháp đề xuất",3.8780,73.1707,41,"Nên tổ chức chương trình đào tạo “Nông dân – Hướng dẫn viên Xanh Củ Chi” quy mô lớn cho cộng đồng."
36,"Giải pháp đề xuất",3.9512,75.6098,41,"Cần xây dựng bộ tiêu chí chứng nhận “Hộ du lịch nông nghiệp xanh Củ Chi” (5 sao) để tạo động lực cho các hộ."
37,"Giải pháp đề xuất",4.0244,78.0488,41,"Cần đẩy mạnh chiến dịch truyền thông cộng đồng “Củ Chi Xanh – Nơi Mọi Người Cùng Sống Xanh”."
38,"Giải pháp đề xuất",3.9756,70.7317,41,"Cần thành lập Ban Quản lý Du lịch Nông nghiệp Xanh xã Củ Chi với sự tham gia của cộng đồng và doanh nghiệp."
